amazonEcho	belkinMotion	blipcareBP	BabyMonitor	laptop	LIFXlighbulb	Netatmo	sleepSensor	tribySpeaker
13823 	21856 	1848 	3073 	0	4427 	65485 	16761 	62424 
13231 	18139 	701 	3073 		1980 	65307 	16697 	3239 
12927 	18139 	701 	1856 		1890 	65174 	16690 	3238 
12127 	18139 	72 	1856 		1803 	64752 	16689 	3238 
10059 	18139 		1856 		1166 	64410 	12149 	3238 
4835 	18139 		1856 		1096 	63894 	9279 	3210 
4828 	18139 		1856 		896 	63527 	9271 	3210 
4803 	18139 		1856 		548 	63379 	8080 	3210 
4785 	18139 		1856 		48 	62714 	6165 	3065 
4781 	18139 		1856 		48 	62672 	4812 	1283 
4779 	18139 		1856 		48 	62607 	4236 	719 
4720 	18139 		1856 		48 	62074 	4202 	303 
4701 	18139 		1856 		48 	61353 	3644 	300 
4669 	18139 		1856 		48 	61187 	3155 	168 
4433 	18139 		1855 		48 	61039 	3045 	156 
4339 	18139 		1855 		48 	60815 	2744 	88 
4313 	18139 		1855 		48 	60719 	2577 	48 
4311 	18139 		1854 		48 	60547 	2427 	48 
4302 	18139 		1854 		48 	60362 	2418 	48 
4294 	18139 		1854 		48 	58695 	2330 	48 
4290 	18139 		1853 		48 	58326 	2259 	48 
4286 	18139 		1853 		48 	57986 	2178 	48 
4274 	18139 		1853 		48 	57886 	2118 	48 
4268 	18139 		1853 		48 	57374 	1683 	48 
4247 	18139 		1852 		48 	57334 	1607 	40 
3311 	18139 		1852 		48 	56728 	1013 	40 
3023 	18139 		1852 		48 	55610 	758 	39 
3007 	18139 		1852 		48 	55182 	665 	33 
3007 	18139 		1852 		48 	54270 	657 	31 
2975 	18139 		1852 		48 	54161 	656 	31 
2959 	18139 		1852 		48 	54020 	602 	31 
2959 	18139 		1852 		48 	53898 	579 	31 
2959 	18139 		1852 		48 	53303 	573 	31 
2959 	18139 		1851 		48 	51638 	573 	31 
2959 	18139 		1851 		48 	50975 	552 	31 
2959 	18139 		1850 		48 	50925 	521 	31 
2959 	18139 		1850 		48 	50819 	521 	8 
2959 	18139 		1850 		48 	50484 	521 	
2959 	18139 		1849 		48 	49570 	500 	
2959 	18139 		1849 		48 	49437 	500 	
2959 	18139 		1849 		48 	48780 	459 	
2959 	18139 		1849 		48 	47931 	457 	
2959 	18139 		1849 		48 	47786 	300 	
2959 	18139 		1848 		48 	47703 	296 	
2959 	18139 		1848 		48 	47238 	296 	
2959 	18139 		1848 		48 	46683 	296 	
2959 	18139 		1847 		48 	46066 	289 	
2959 	18139 		1847 		48 	46050 	289 	
2959 	18139 		1847 		48 	45952 	289 	
2959 	18139 		1847 		48 	45941 	289 	
2959 	18139 		1847 		48 	45498 	289 	
2959 	18139 		1847 		48 	45297 	289 	
2959 	18139 		1847 		48 	45083 	289 	
2959 	18139 		1847 		48 	44773 	289 	
2959 	18139 		1847 		48 	44746 	289 	
2959 	18139 		1847 		48 	44714 	289 	
2959 	18139 		1847 		48 	44597 	289 	
2959 	18139 		1847 		48 	44452 	289 	
2959 	18139 		1847 		48 	44282 	289 	
2959 	18139 		1846 		48 	44123 	289 	
2959 	18139 		1846 		48 	44107 	289 	
2959 	18139 		1846 		48 	44031 	289 	
2959 	18139 		1846 		48 	43693 	284 	
2959 	18139 		1846 		48 	43482 	284 	
2959 	18139 		1846 		48 	43044 	284 	
2959 	18139 		1846 		48 	42708 	284 	
2959 	18139 		1846 		48 	42630 	284 	
2959 	18139 		1846 		48 	42625 	284 	
2959 	18139 		1846 		48 	42238 	284 	
2959 	18139 		1846 		48 	42180 	284 	
2959 	18139 		1846 		48 	42093 	284 	
2959 	18139 		1846 		48 	42017 	284 	
2959 	18139 		1846 		48 	42017 	284 	
2959 	18139 		1846 		48 	42006 	284 	
2959 	18139 		1846 		48 	41978 	284 	
2959 	18139 		1846 		48 	41541 	284 	
2959 	18139 		1846 		48 	41230 	284 	
2959 	18139 		1846 		48 	41183 	284 	
2959 	18139 		1846 		48 	41150 	282 	
2959 	18139 		1846 		48 	41117 	282 	
2959 	18139 		1846 		48 	41100 	282 	
2959 	18139 		1846 		48 	41069 	282 	
2959 	18139 		1846 		48 	41037 	282 	
2959 	18139 		1846 		48 	41032 	282 	
2959 	18139 		1846 		48 	40894 	282 	
2959 	18139 		1846 		48 	40893 	282 	
2959 	18139 		1846 		48 	40541 	282 	
2959 	18139 		1846 		48 	40382 	282 	
2959 	18139 		1846 		48 	40197 	282 	
2959 	18139 		1845 		48 	40074 	282 	
2959 	18139 		1845 		48 	40012 	282 	
2959 	18139 		1845 		48 	40012 	282 	
2959 	18139 		1845 		48 	39791 	282 	
2959 	18139 		1845 		48 	39752 	282 	
2959 	18139 		1845 		48 	39671 	246 	
2959 	18139 		1845 		48 	39657 	246 	
2959 	18139 		1845 		48 	39532 	246 	
2959 	18139 		1845 		48 	39233 	222 	
2959 	18139 		1845 		48 	39206 	222 	
2959 	18139 		1844 		48 	39110 	222 	
2959 	18139 		1844 		48 	39051 	222 	
2959 	18139 		1844 		48 	38841 	222 	
2959 	18139 		1844 		48 	38740 	222 	
2959 	18139 		1844 		48 	38585 	222 	
2959 	18139 		1844 		48 	38287 	222 	
2959 	18139 		1844 		48 	38099 	222 	
2959 	18139 		1844 		48 	37840 	222 	
2959 	18139 		1844 		35 	37309 	222 	
2959 	18139 		1844 		35 	37115 	222 	
2959 	18139 		1844 		35 	37105 	222 	
2959 	18139 		1844 		35 	36913 	222 	
2959 	18139 		1843 		35 	36752 	222 	
2959 	18139 		1843 		30 	36310 	222 	
