amazonEcho	belkinMotion	blipcareBP	BabyMonitor	laptop	LIFXlighbulb	Netatmo	sleepSensor	tribySpeaker
95	86	0	66	0	42	43	66	75
54	214		66		123	78	225	785
201	66		66		42	42	66	66
191	42		66		123	98	42	42
54	118		66		42	88	225	66
95	118		66		123	174	66	42
42	118		60		42	98	225	70
201	143		66		123	98	66	66
191	143		66		42	42	225	42
90	74		60		72	86	66	66
95	74		66		72	86	225	66
54	74		66		90	43	66	42
201	66		66		123	43	225	66
191	252		66		42	42	66	66
98	66		66		123	43	42	70
98	252		66		42	42	225	66
98	66		60		123	43	66	42
98	249		66		123	43	225	66
98	66		66		42	42	66	785
98	66		66		123	43	225	66
98	66		66		142	42	66	66
98	66		60		187	86	225	42
98	66		66		130	86	66	70
98	66		66		171	174	225	66
98	66		79		42	174	66	42
98	66		74		80	43	42	66
98	66		66		123	42	225	66
98	74		265		92	98	66	42
98	74		66		139	98	225	66
98	74		1514		92	98	66	66
98	66		259		139	42	225	70
98	66		66		54	43	66	113
98	66		66		82	43	225	113
98	249		66		123	43	66	113
75	249		66		123	42	225	113
75	249		66		42	43	66	66
74	66		66		113	174	42	42
66	66		66		72	42	225	75
66	66		66		72	86	66	785
75	66		66		90	86	225	66
75	66		66		123	43	66	42
74	66		60		123	43	225	66
66	66		66		42	42	66	42
66	66		66		123	43	225	70
66	66		60		42	42	66	66
75	66		66		123	43	225	42
75	66		66		42	43	66	66
74	66		66		123	42	42	66
66	74		66		42	98	225	42
66	89		66		123	98	66	66
66	89		66		42	98	225	66
66	42		66		72	42	66	70
42	46		66		72	174	225	66
201	86		60		90	43	66	66
54	86		66		123	86	225	42
95	86		66		42	86	66	42
191	118		66		123	43	225	75
201	118		66		42	42	66	75
95	118		60		123	43	42	785
54	42		66		42	42	225	66
191	74		66		123	43	66	42
201	42		66		42	42	225	42
54	66		66		123	43	66	42
95	262		66		142	43	225	66
191	66		66		187	42	66	42
42	66		60		130	174	225	70
201	66		66		171	174	66	42
191	74		66		42	42	225	66
95	66		66		80	86	66	66
54	264		66		123	86	42	42
201	66		60		113	43	225	42
191	66		66		92	42	66	66
95	143		66		139	98	225	66
54	143		66		92	98	66	70
95	74		66		139	98	225	113
54	74		66		54	113	66	113
42	74		66		82	42	225	66
201	66		60		123	43	66	42
191	66		66		72	43	225	785
95	66		66		72	42	66	66
54	252		66		90	43	42	42
201	249		66		123	42	225	66
191	252		60		123	43	66	42
54	66		66		42	174	225	70
95	66		66		123	42	66	66
90	66		66		123	43	225	42
42	66		66		42	42	66	66
201	66		66		123	86	225	66
191	66		66		123	86	66	42
95	66		60		42	43	225	66
54	66		66		123	42	66	66
201	66		66		123	43	42	70
191	74		79		42	42	225	66
95	66		74		123	43	66	42
54	74		66		123	90	225	66
95	74		459		42	42	66	75
54	218		66		72	43	225	785
201	66		66		72	42	66	66
42	249		66		90	98	225	42
191	66		66		42	98	66	66
88	66		66		123	98	225	42
74	66		66		42	43	66	70
54	66		66		123	174	42	66
571	249		66		123	174	225	42
54	66		66		42	43	66	66
54	66		66		123	86	225	66
54	66		66		42	42	66	42
380	66		60		123	86	225	66
54	66		66		42	43	66	66
1514	74		66		123	42	225	70
396	66		60		42	43	66	113
368	249		66		113	42	225	113
54	66		66		72	43	66	113
54	66		66		72	43	42	66
54	66		66		90	42	225	42
201	66		66		123	174	66	785
95	66		66		54	42	225	66
95	66		66		142	43	66	42
54	66		66		187	43	225	66
90	74		60		130	86	66	42
191	74		66		171	86	113	70
90	74		66		42	42	225	66
98	66		60		80	98	66	42
98	66		66		123	98	42	66
98	66		66		92	98	225	66
98	220		66		139	42	66	42
98	66		66		92	43	225	66
98	66		66		139	43	66	66
98	259		66		54	43	225	70
98	259		66		82	42	66	66
98	66		66		123	43	225	66
98	74		60		123	42	66	42
98	66		66		42	174	42	42
98	66		66		123	174	225	42
98	66		60		123	43	66	75
98	74		66		42	42	225	785
98	66		66		123	86	66	66
98	66		66		42	86	225	42
98	66		66		123	43	66	66
98	66		66		123	42	225	42
98	66		66		42	43	66	66
98	66		60		72	43	42	70
75	259		66		72	42	225	66
75	66		66		90	98	66	42
74	259		60		123	98	225	66
66	66		66		42	98	66	66
66	66		66		130	42	225	42
75	66		66		171	43	66	66
75	66		66		123	174	225	66
66	74		66		42	43	66	70
74	66		66		123	43	42	113
66	66		60		42	42	225	113
66	259		66		123	86	66	66
75	66		66		123	113	225	42
75	66		60		42	86	66	42
74	118		66		123	43	80	75
66	118		66		42	42	80	785
66	118		66		113	43	74	66
66	42		66		72	43	74	42
66	86		66		72	42	66	66
201	118		66		90	174	733	42
42	118		60		123	174	66	70
54	118		66		42	42	925	66
95	214		66		123	43	66	42
191	66		60		142	43	66	66
201	42		66		187	42	66	66
95	118		66		130	98	66	42
54	118		66		171	98	80	66
191	118		66		42	98	74	66
90	42		66		80	42	66	70
201	143		66		123	86	66	66
191	143		60		92	43	66	66
54	74		66		139	86	264	42
95	74		66		92	43	66	42
42	66		60		139	43	1514	785
201	74		66		54	42	1514	66
